,S&P 500 Index,SCHG,SCHV,Invesco Funds - Invesco Global Investment Grade Corporate Bond Fund,iShares Core Global Aggt Bd ETF USD Dist,PIMCO GIS Asia Strategic Interest Bond Fund,"JANUS HENDERSON US SHORT TERM BOND ""A2"" (USD) ACC",Neuberger Berman High Yield Bond,Bloomberg Global-Aggregate Total Return Index Value Unhedged USD,MSCI World Index,MSCI World Net Total Return USD Index,AQUMON MPF Composite Index,AQUMON MPF Bond Index,AQUMON MPF Mixed Index,AQUMON MPF DIS Index,AQUMON MPF Equity Index,AQUMON MPF Equity Global Index,AQUMON MPF Equity US Index,AQUMON MPF Equity Europe Index,AQUMON MPF Equity Asia Index,AQUMON MPF Equity Greatchina index
2019-11-28,2.0596,114.16672,13,12.4347,5.27743,,17.5,16.85,508.4599,2301.79,6735.89,1.231325779,1.042261213,1.239576463,1.205235299,1.313121918,1.339517123,1.664954586,1.159557952,1.276346172,1.293112593
2019-11-29,2.0523,113.68466,13.01,12.4393,5.27825,,17.5,16.86,508.7047,2292.26,6708.68,1.22249645,1.042048544,1.232999896,1.202530267,1.296278711,1.331760828,1.660771531,1.156340222,1.254061886,1.267206281
2019-12-02,2.0384,112.8969,13.01,12.4183,5.2684,,17.5,16.83,507.7692,2276.4,6662.536,1.221236773,1.041223531,1.230236002,1.197014608,1.296514332,1.324992929,1.647979578,1.145271561,1.259099903,1.273100805
2019-12-03,2.0286,112.23847,13,12.4055,5.2954,,17.53,16.82,510.4316,2263.1,6623.751,1.2196179,1.04220864,1.229770503,1.19749951,1.291897596,1.31773524,1.636547223,1.136778964,1.256490055,1.271445996
2019-12-04,2.0391,112.86162,13,12.4522,5.2877,,17.52,16.86,509.6006,2275.47,6660.287,1.217587454,1.042168813,1.228985841,1.198534374,1.287173422,1.324303047,1.643388089,1.148822762,1.24524788,1.258196824
2019-12-05,2.0406,113.03799,13.01,12.4282,5.28647,,17.51,16.87,509.4392,2278.63,6670.355,1.220968787,1.042072147,1.231107973,1.19808364,1.294200444,1.326449046,1.645797889,1.149735383,1.254825998,1.268670658
2019-12-06,2.0578,113.93157,13.02,12.429,5.27548,,17.5,16.92,508.357,2296.39,6722.637,1.226731673,1.042071174,1.236194474,1.201358368,1.304363476,1.336908233,1.656254736,1.157497167,1.265103408,1.280685055
2019-12-09,2.0529,113.74345,13.03,12.4275,5.28308,,17.51,16.92,509.1526,2292.58,6711.733,1.226620958,1.042224381,1.23619378,1.201395145,1.303955509,1.334243243,1.65404825,1.155771877,1.26566706,1.280464696
2019-12-10,2.0515,113.60236,13.04,12.4403,5.28534,,17.49,16.94,509.384,2289.67,6703.372,1.225078928,1.042197218,1.234863991,1.200815848,1.301217721,1.333286375,1.651105375,1.152671667,1.262569942,1.276881064
2019-12-11,2.0623,113.87278,13.05,12.4451,5.29263,,17.51,16.95,510.0889,2295.02,6719.081,1.228365441,1.042324638,1.237079475,1.202449888,1.307725606,1.335582953,1.654040216,1.155765391,1.27096071,1.28675267
